0.035 V V63 1
13.953 V V35 2
14.504 V V03 3
15.316 N N72 4
20.156 V V82 5
20.91 N N72 4
21.684 N N04 6
22.438 N N48 7
23.16 N N36 8
23.875 N N36 8
24.578 N N36 8
25.293 N N36 8
26.016 N N48 7
26.793 N N48 7
27.625 N N48 7
28.457 N N48 7
29.301 N N48 7
30.156 N N48 7
31.012 N N48 7
31.793 N N36 8
32.598 N N48 7
33.367 N N48 7
34.109 N N48 7
34.84 N N48 7
35.547 N N36 8
36.285 N N48 7
37.016 N N36 8
37.75 N N36 8
38.527 N N48 7
39.328 N N48 7
40.094 N N48 7
40.887 N N48 7
41.672 N N48 7
42.465 N N48 7
43.254 N N36 8
44.035 N N48 7
44.793 N N48 7
45.531 N N48 7
46.27 N N48 7
46.988 N N36 8
47.711 N N36 8
48.449 N N48 7
49.152 N N48 7
49.891 N N48 7
50.641 N N48 7
51.43 N N48 7
52.262 N N48 7
53.121 N N48 7
53.973 N N48 7
54.793 N N48 7
55.621 N N48 7
56.43 N N48 7
57.199 N N36 8
57.949 N N36 8
58.695 N N36 8
59.445 N N36 8
60.191 N N36 8
60.945 N N36 8
61.668 N N36 8
62.387 N N48 7
63.129 N N48 7
63.867 N N48 7
64.613 N N33 9
65.355 N N48 7
66.082 N N33 9
66.805 N N36 8
67.52 N N33 9
68.227 N N36 8
68.934 N N36 8
69.637 N N33 9
70.34 N N36 8
71.047 N N36 8
71.773 N N48 7
72.5 N N48 7
73.258 N N45 10
74.004 N N36 8
74.789 N N48 7
75.582 N N48 7
76.383 N N36 8
77.152 N N36 8
77.941 N N48 7
78.738 N N48 7
79.551 N N48 7
80.367 N N48 7
81.199 N N48 7
82.039 N N48 7
82.879 N N36 8
83.715 N N48 7
84.551 N N48 7
85.367 N N36 8
86.145 N N36 8
86.934 N N36 8
87.75 N N36 8
88.574 N N36 8
89.395 N N36 8
90.199 N N48 7
91 N N36 8
91.789 N N36 8
92.57 N N48 7
93.316 N N48 7
94.074 N N48 7
94.84 N N48 7
95.605 N N36 8
96.379 N N48 7
97.164 N N48 7
97.961 N N36 8
98.766 N N48 7
99.598 N N48 7
100.457 N N48 7
101.324 N N48 7
102.176 N N36 8
102.965 N N36 8
103.777 N N36 8
104.563 N N36 8
105.313 N N36 8
106.035 N N36 8
106.758 N N36 8
107.449 N N36 8
108.152 N N36 8
108.871 N N48 7
109.605 N N48 7
110.359 N N48 7
111.105 N N48 7
111.898 N N48 7
112.699 N N48 7
113.5 N N48 7
114.305 N N48 7
115.121 N N48 7
115.93 N N48 7
116.723 N N48 7
117.531 N N48 7
118.336 N N48 7
119.109 N N36 8
119.914 N N48 7
120.734 N N48 7
121.563 N N48 7
122.418 N N48 7
123.242 N N48 7
124.051 N N48 7
124.871 N N48 7
125.684 N N48 7
126.465 N N36 8
127.27 N N48 7
128.07 N N48 7
128.887 N N48 7
129.711 N N48 7
130.504 N N48 7
131.324 N N48 7
132.129 N N48 7
132.945 N N48 7
133.758 N N48 7
134.559 N N36 8
135.34 N N36 8
136.121 N N36 8
136.887 N N36 8
137.676 N N36 8
138.453 N N36 8
139.234 N N36 8
140.031 N N36 8
140.824 N N36 8
141.582 N N36 8
142.391 N N36 8
143.203 N N36 8
144.004 N N36 8
144.781 N N36 8
145.605 N N36 8
146.426 N N36 8
147.246 N N36 8
148.055 N N36 8
148.836 N N36 8
149.668 N N48 7
150.504 N N48 7
151.344 N N48 7
152.125 N N36 8
152.965 N N36 8
153.805 N N48 7
154.598 N N36 8
155.418 N N48 7
156.234 N N48 7
157.039 N N36 8
157.82 N N48 7
158.625 N N48 7
159.449 N N48 7
160.238 N N36 8
161.059 N N48 7
161.875 N N48 7
162.703 N N36 8
163.477 N N36 8
164.313 N N36 8
165.152 N N48 7
165.949 N N36 8
166.695 N N36 8
167.484 N N48 7
168.242 N N48 7
169.004 N N48 7
169.793 N N48 7
170.566 N N48 7
171.313 N N48 7
172.059 N N48 7
172.801 N N48 7
173.547 N N36 8
174.316 N N36 8
175.051 N N36 8
175.789 N N36 8
176.516 N N48 7
177.254 N N48 7
178.027 N N36 8
178.805 N N36 8
179.66 N N48 7
180.563 N N48 7
181.484 N N48 7
182.289 N N36 8
183.168 N N48 7
184.043 N N48 7
184.934 N N48 7
185.777 N N36 8
186.641 N N48 7
187.527 N N48 7
188.434 N N48 7
189.375 N N48 7
190.297 N N48 7
191.23 N N48 7
192.137 N N48 7
192.988 N N36 8
193.82 N N36 8
194.625 N N36 8
195.402 N N48 7
196.18 N N48 7
196.941 N N36 8
197.699 N N48 7
198.477 N N48 7
199.238 N N48 7
200.031 N N48 7
200.813 N N36 8
201.613 N N48 7
202.453 N N36 8
203.332 N N36 8
204.234 N N48 7
205.051 N N36 8
205.883 N N48 7
206.699 N N48 7
207.469 N N36 8
208.289 N N48 7
209.117 N N48 7
209.984 N N48 7
210.836 N N48 7
211.75 N N48 7
212.672 N N48 7
213.543 N N48 7
214.441 N N48 7
215.316 N N36 8
